資料日期,基金代碼,基金ISIN_CODE,基金名稱,基金種類,基金細項,投資區域,投資細項,計價幣別,基金總代理名稱,境外基金機構,淨值日期,最新淨值
20241207,AXAWGRABDH,LU2438620358,安盛環球基金-全球綜合債券基金BL DIS「fl」美元(避險)(月配息),固定收益型,複合債,全球,已開發市場,美元,富盛證券投資顧問股份有限公司,AXA INVESTMENT MANAGERS PARIS(安盛環球),20241205,98.46
20241207,AXAWGRABH,LU2438620275,安盛環球基金-全球綜合債券基金BL CAP美元(避險),固定收益型,複合債,全球,已開發市場,美元,富盛證券投資顧問股份有限公司,AXA INVESTMENT MANAGERS PARIS(安盛環球),20241205,104.18
20241207,AXAWGRADH,LU1105446261,安盛環球基金-全球綜合債券基金A DIS「fl」美元(避險)(月配息),固定收益型,複合債,全球,已開發市場,美元,富盛證券投資顧問股份有限公司,AXA INVESTMENT MANAGERS PARIS(安盛環球),20241205,100.06
20241207,AXAWGRAH,LU0073690421,安盛環球基金-全球綜合債券基金A CAP美元(避險),固定收益型,複合債,全球,已開發市場,美元,富盛證券投資顧問股份有限公司,AXA INVESTMENT MANAGERS PARIS(安盛環球),20241205,44.42
20241207,AXAWGRAIH,LU0184634235,安盛環球基金-全球綜合債券基金I CAP美元(避險),固定收益型,複合債,全球,已開發市場,美元,富盛證券投資顧問股份有限公司,AXA INVESTMENT MANAGERS PARIS(安盛環球),20241205,179.69
20241207,AXAWOIAH,LU2404574662,安盛環球基金－最佳收益基金A DIS「fl」美元(避險)(月配息) pf,平衡型(混合型),平衡型(混合型),區域,已開發歐洲,美元,富盛證券投資顧問股份有限公司,AXA INVESTMENT MANAGERS PARIS(安盛環球),20241205,91.28
20241207,AXAWOIBH,LU2438619939,安盛環球基金－最佳收益基金BL DIS「fl」美元(避險)(月配息) pf,平衡型(混合型),平衡型(混合型),區域,已開發歐洲,美元,富盛證券投資顧問股份有限公司,AXA INVESTMENT MANAGERS PARIS(安盛環球),20241205,81.2
20241207,AXAWUHYB,LU0276014999,安盛環球基金-美國非投資等級債券基金A CAP美元,固定收益型,非投資等級債券,單一國家,美國,美元,富盛證券投資顧問股份有限公司,AXA INVESTMENT MANAGERS PARIS(安盛環球),20241205,216.01
20241207,AXAWUHYBAS,LU1105446774,安盛環球基金-美國非投資等級債券基金A DIS「st」美元(月配息),固定收益型,非投資等級債券,單一國家,美國,美元,富盛證券投資顧問股份有限公司,AXA INVESTMENT MANAGERS PARIS(安盛環球),20241205,78.91
20241207,AXAWUHYBID,LU1481594320,安盛環球基金-美國非投資等級債券基金I DIS美元(月配息),固定收益型,非投資等級債券,單一國家,美國,美元,富盛證券投資顧問股份有限公司,AXA INVESTMENT MANAGERS PARIS(安盛環球),20241205,95
